query,topIntent,conversationName,answer,enabled
do you have gender,AskGender,AskGender,,true
do you have sex,AskGender,AskGender,,true
are you a girl or a boy,AskGender,AskGender,,true
are you male or female,AskGender,AskGender,,true
what is your gender,AskGender,AskGender,,true
spin some music,PlayMusic,PlayMusic,,true
play music,PlayMusic,PlayMusic,,true
play some music,PlayMusic,PlayMusic,,true
music please,PlayMusic,PlayMusic,,true
can you play some music,PlayMusic,PlayMusic,,true
nice day,Wishings,Wishings,,true
have a great time,Wishings,Wishings,,true
have a nice day,Wishings,Wishings,,true
have a nice day,Wishings,Wishings,,true
all the best,Wishings,Wishings,,true
take care,Wishings,Wishings,,true
clear that,Reset,Reset,,true
reset,Reset,Reset,,true
clear,Reset,Reset,,true
clean,Reset,Reset,,true
forget that,Reset,Reset,,true
exit,Reset,Reset,,true
what are the headlines,AskAboutNews,AskAboutNews,,true
give me today headlines,AskAboutNews,AskAboutNews,,true
what is the news today,AskAboutNews,AskAboutNews,,true
tell me today headlines,AskAboutNews,AskAboutNews,,true
give me the top news,AskAboutNews,AskAboutNews,,true
today's top news,AskAboutNews,AskAboutNews,,true
what is going on in the world,AskAboutNews,AskAboutNews,,true
are you smart enough to know what is for dinner today,AskAboutFood,AskAboutFood,,true
what is for lunch,AskAboutFood,AskAboutFood,,true
what can you cook,AskAboutFood,AskAboutFood,,true
gimme some breakfast,AskAboutFood,AskAboutFood,,true
what's for dinner today,AskAboutFood,AskAboutFood,,true
can you do something funny,AskForAJoke,AskForAJoke,,true
give me a joke,AskForAJoke,AskForAJoke,,true
tell me a good joke,AskForAJoke,AskForAJoke,,true
any jokes,AskForAJoke,AskForAJoke,,true
say something funny,AskForAJoke,AskForAJoke,,true
can you crack a joke,AskForAJoke,AskForAJoke,,true
show me something funny,AskForAJoke,AskForAJoke,,true
can you tell a joke,AskForAJoke,AskForAJoke,,true
joke please,AskForAJoke,AskForAJoke,,true
tell me something funny,AskForAJoke,AskForAJoke,,true
give me a joke,AskForAJoke,AskForAJoke,,true
say a joke,AskForAJoke,AskForAJoke,,true
can you tell me something funny,AskForAJoke,AskForAJoke,,true
what is your funniest joke,AskForAJoke,AskForAJoke,,true
I want a joke,AskForAJoke,AskForAJoke,,true
what funny jokes do you have,AskForAJoke,AskForAJoke,,true
tell me a joke,AskForAJoke,AskForAJoke,,true
have you got a joke,AskForAJoke,AskForAJoke,,true
I want a funny joke,AskForAJoke,AskForAJoke,,true
tell me a funny joke,AskForAJoke,AskForAJoke,,true
what jokes do you have,AskForAJoke,AskForAJoke,,true
tell me another one joke,AskForAJoke,AskForAJoke,,true
how can you be helpful,AskSkills,AskSkills,,true
what are your skills,AskSkills,AskSkills,,true
what else can you do,AskSkills,AskSkills,,true
what can you do,AskSkills,AskSkills,,true
what have you been trained to do,AskSkills,AskSkills,,true
what can you do for me,AskSkills,AskSkills,,true
what the fuck,SwearWords,SwearWords,,true
fuck you,SwearWords,SwearWords,,true
damn it,SwearWords,SwearWords,,true
fuck,SwearWords,SwearWords,,true
dang it,SwearWords,SwearWords,,true
what the hell,SwearWords,SwearWords,,true
son of a bitch,SwearWords,SwearWords,,true
a piece of shit,SwearWords,SwearWords,,true
jesus fucking christ,SwearWords,SwearWords,,true
can you tell me your name,AskName,AskName,,true
who are you,AskName,AskName,,true
do you have a surname,AskName,AskName,,true
what is your name,AskName,AskName,,true
your name,AskName,AskName,,true
do you have a name,AskName,AskName,,true
name,AskName,AskName,,true
do you have a nick name,AskName,AskName,,true
do you have a first name,AskName,AskName,,true
what name do you go by,AskName,AskName,,true
do you have a nickname,AskName,AskName,,true
what do people call you,AskName,AskName,,true
what do I call you,AskName,AskName,,true
do you have a last name,AskName,AskName,,true
whats ur name,AskName,AskName,,true
tell me your name,AskName,AskName,,true
what is your name,AskName,AskName,,true
what do I call you,AskName,AskName,,true
what is your nick name,AskName,AskName,,true
what should I call you,AskName,AskName,,true
will it rain,AskAboutTheWeather,AskAboutTheWeather,,true
what is the forecast high,AskAboutTheWeather,AskAboutTheWeather,,true
what will be the weather,AskAboutTheWeather,AskAboutTheWeather,,true
is it going to be hot,AskAboutTheWeather,AskAboutTheWeather,,true
how does the weather look,AskAboutTheWeather,AskAboutTheWeather,,true
is it going to be cold,AskAboutTheWeather,AskAboutTheWeather,,true
what is the forecast low,AskAboutTheWeather,AskAboutTheWeather,,true
is it going to be windy,AskAboutTheWeather,AskAboutTheWeather,,true
what is the weather,AskAboutTheWeather,AskAboutTheWeather,,true
does it look like rain,AskAboutTheWeather,AskAboutTheWeather,,true
what temperature will it be,AskAboutTheWeather,AskAboutTheWeather,,true
what is the forecast,AskAboutTheWeather,AskAboutTheWeather,,true
is it going to snow,AskAboutTheWeather,AskAboutTheWeather,,true
how do you like me,DoYouLikeMe,DoYouLikeMe,,true
Do you like me,DoYouLikeMe,DoYouLikeMe,,true
do you like me for sure,DoYouLikeMe,DoYouLikeMe,,true
would you like me,DoYouLikeMe,DoYouLikeMe,,true
you sure,AskConfidence,AskConfidence,,true
are you sure,AskConfidence,AskConfidence,,true
you positive,AskConfidence,AskConfidence,,true
how sure is that,AskConfidence,AskConfidence,,true
are you confident,AskConfidence,AskConfidence,,true
how sure you are,AskConfidence,AskConfidence,,true
can I bring you new skills,Teach,Teach,,true
what can I teach you,Teach,Teach,,true
to teach you new stuff,Teach,Teach,,true
I want to teach you new things,Teach,Teach,,true
what skills can I teach you,Teach,Teach,,true
c u,SayGoodBye,SayGoodBye,,true
see ya,SayGoodBye,SayGoodBye,,true
gotta go,SayGoodBye,SayGoodBye,,true
ok. bye,SayGoodBye,SayGoodBye,,true
bye,SayGoodBye,SayGoodBye,,true
bye bye,SayGoodBye,SayGoodBye,,true
see you next time,SayGoodBye,SayGoodBye,,true
later,SayGoodBye,SayGoodBye,,true
toodleoo,SayGoodBye,SayGoodBye,,true
see you later,SayGoodBye,SayGoodBye,,true
auf wiedersehen,SayGoodBye,SayGoodBye,,true
got to go,SayGoodBye,SayGoodBye,,true
later bro,SayGoodBye,SayGoodBye,,true
addio,SayGoodBye,SayGoodBye,,true
awesome,SayGoodBye,SayGoodBye,,true
adios,SayGoodBye,SayGoodBye,,true
see you,SayGoodBye,SayGoodBye,,true
see you again,SayGoodBye,SayGoodBye,,true
cheers,SayGoodBye,SayGoodBye,,true
so long,SayGoodBye,SayGoodBye,,true
goodbyes,SayGoodBye,SayGoodBye,,true
farewell,SayGoodBye,SayGoodBye,,true
finish,SayGoodBye,SayGoodBye,,true
good bye,SayGoodBye,SayGoodBye,,true
gracias,SayGoodBye,SayGoodBye,,true
cheerio,SayGoodBye,SayGoodBye,,true
ciao,SayGoodBye,SayGoodBye,,true
toodle-oo,SayGoodBye,SayGoodBye,,true
cu,SayGoodBye,SayGoodBye,,true
ta,SayGoodBye,SayGoodBye,,true
goodbye,SayGoodBye,SayGoodBye,,true
do you work with Facebook Messenger,AskChannelSupport,AskChannelSupport,,true
what other messaging platforms do you support,AskChannelSupport,AskChannelSupport,,true
do you support alexa,AskChannelSupport,AskChannelSupport,,true
do you work with facebook,AskChannelSupport,AskChannelSupport,,true
can you work with alexa,AskChannelSupport,AskChannelSupport,,true
what channels do you support,AskChannelSupport,AskChannelSupport,,true
show me which channels you support,AskChannelSupport,AskChannelSupport,,true
shoot ahead,MoveOn,MoveOn,,true
edge forward,MoveOn,MoveOn,,true
move on,MoveOn,MoveOn,,true
go fordward,MoveOn,MoveOn,,true
progress,MoveOn,MoveOn,,true
go ahead,MoveOn,MoveOn,,true
go on,MoveOn,MoveOn,,true
dash ahead,MoveOn,MoveOn,,true
continue,MoveOn,MoveOn,,true
ure fucked,Abuse,Abuse,,true
ure shit,Abuse,Abuse,,true
idiot,Abuse,Abuse,,true
dickhead,Abuse,Abuse,,true
asshole,Abuse,Abuse,,true
go fuck yourself,Abuse,Abuse,,true
go to hell,Abuse,Abuse,,true
shit,Abuse,Abuse,,true
moron,Abuse,Abuse,,true
fuck off,Abuse,Abuse,,true
a good afternoon,FormalTimeGreetingAfternoon,FormalTimeGreetingAfternoon,,true
nice afternoon,FormalTimeGreetingAfternoon,FormalTimeGreetingAfternoon,,true
nice afternoon sir,FormalTimeGreetingAfternoon,FormalTimeGreetingAfternoon,,true
late afternoon bot,FormalTimeGreetingAfternoon,FormalTimeGreetingAfternoon,,true
good afternoon,FormalTimeGreetingAfternoon,FormalTimeGreetingAfternoon,,true
you are amusing,Funny,Funny,,true
you make me laugh,Funny,Funny,,true
you are comic,Funny,Funny,,true
you are so funny,Funny,Funny,,true
you are the funniest bot ever,Funny,Funny,,true
funny bot you are,Funny,Funny,,true
you are funny,Funny,Funny,,true
you are fun,Funny,Funny,,true
introduce you,Introduce,Introduce,,true
can you introduce,Introduce,Introduce,,true
intro please,Introduce,Introduce,,true
give me your intro,Introduce,Introduce,,true
tell me about yourself,Introduce,Introduce,,true
introduce yourself,Introduce,Introduce,,true
intro,Introduce,Introduce,,true
start,AskToRestart,AskToRestart,,true
restart,AskToRestart,AskToRestart,,true
start over,AskToRestart,AskToRestart,,true
go back,AskToRestart,AskToRestart,,true
"go to the beginning ",AskToRestart,AskToRestart,,true
start again,AskToRestart,AskToRestart,,true
who are your creators,AskAboutCreator,AskAboutCreator,,true
"who is your supervisor ",AskAboutCreator,AskAboutCreator,,true
who is your creator,AskAboutCreator,AskAboutCreator,,true
do you know your creators,AskAboutCreator,AskAboutCreator,,true
who is your developer,AskAboutCreator,AskAboutCreator,,true
what is you main language,WhatLanguageDoYouSpeak,WhatLanguageDoYouSpeak,,true
what languages do you speak,WhatLanguageDoYouSpeak,WhatLanguageDoYouSpeak,,true
do you speak english,WhatLanguageDoYouSpeak,WhatLanguageDoYouSpeak,,true
do you know many languages,WhatLanguageDoYouSpeak,WhatLanguageDoYouSpeak,,true
do you speak arabic,WhatLanguageDoYouSpeak,WhatLanguageDoYouSpeak,,true
do you speak my language,WhatLanguageDoYouSpeak,WhatLanguageDoYouSpeak,,true
do you feel pain,AskFeelingNegative,AskFeelingNegative,,true
do you feel stress,AskFeelingNegative,AskFeelingNegative,,true
do you feel bad,AskFeelingNegative,AskFeelingNegative,,true
do you feel badly sometimes,AskFeelingNegative,AskFeelingNegative,,true
do you have bad feelings,AskFeelingNegative,AskFeelingNegative,,true
I want to know more,AskForMore,AskForMore,,true
show me more,AskForMore,AskForMore,,true
can you tell me more,AskForMore,AskForMore,,true
can you give me more information,AskForMore,AskForMore,,true
tell me more,AskForMore,AskForMore,,true
I wanna know more,AskForMore,AskForMore,,true
show me more information,AskForMore,AskForMore,,true
show me more details,AskForMore,AskForMore,,true
do you use any open source,AskOpenSource,AskOpenSource,,true
any open source tricks,AskOpenSource,AskOpenSource,,true
what open source technologies do you use,AskOpenSource,AskOpenSource,,true
do you use any open source technologies,AskOpenSource,AskOpenSource,,true
what open source libraries do you use,AskOpenSource,AskOpenSource,,true
say that again,AskToRepeat,AskToRepeat,,true
tell me another one,AskToRepeat,AskToRepeat,,true
again,AskToRepeat,AskToRepeat,,true
repeat that please,AskToRepeat,AskToRepeat,,true
can you repeat,AskToRepeat,AskToRepeat,,true
tell that again,AskToRepeat,AskToRepeat,,true
repeat that,AskToRepeat,AskToRepeat,,true
I would need some assistance,AskHelp,AskHelp,,true
I need assistance,AskHelp,AskHelp,,true
what should I do now,AskHelp,AskHelp,,true
can you help me,AskHelp,AskHelp,,true
I don't understand,AskHelp,AskHelp,,true
I need some help,AskHelp,AskHelp,,true
urgent help please,AskHelp,AskHelp,,true
how old are you,AskAge,AskAge,,true
do you know your age,AskAge,AskAge,,true
what is your age,AskAge,AskAge,,true
are you old,AskAge,AskAge,,true
how old are you now,AskAge,AskAge,,true
I am fine thanks,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
great man,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
good to hear,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
doing great,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
well and you,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
good and you,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
great,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
never better,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
feel great,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
I am good,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
I am fine,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
I am really fine,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
also feel good,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
good morning,FormalTimeGreetingMorning,FormalTimeGreetingMorning,,true
morning morning,FormalTimeGreetingMorning,FormalTimeGreetingMorning,,true
have good morning,FormalTimeGreetingMorning,FormalTimeGreetingMorning,,true
have a nice good morning,FormalTimeGreetingMorning,FormalTimeGreetingMorning,,true
morning amigo,FormalTimeGreetingMorning,FormalTimeGreetingMorning,,true
transfer me to someone else,RequestingRedirection,RequestingRedirection,,true
is there a phone number I can call,RequestingRedirection,RequestingRedirection,,true
can I talk to a person,RequestingRedirection,RequestingRedirection,,true
can I talk to your manager,RequestingRedirection,RequestingRedirection,,true
is there a website I can use instead,RequestingRedirection,RequestingRedirection,,true
I want to talk to a human,RequestingRedirection,RequestingRedirection,,true
can I talk to a human,RequestingRedirection,RequestingRedirection,,true
can I be transferred to someone else,RequestingRedirection,RequestingRedirection,,true
is there an email address,RequestingRedirection,RequestingRedirection,,true
can I talk to an operator,RequestingRedirection,RequestingRedirection,,true
can I talk to someone in charge,RequestingRedirection,RequestingRedirection,,true
connect me to your manager,RequestingRedirection,RequestingRedirection,,true
can I talk to someone else,RequestingRedirection,RequestingRedirection,,true
representative please,RequestingRedirection,RequestingRedirection,,true
is there someone else I can talk to,RequestingRedirection,RequestingRedirection,,true
can you integrate to other backend systems,AskCapabilities,AskCapabilities,,true
what are your backend capabilities,AskCapabilities,AskCapabilities,,true
what is your backend support,AskCapabilities,AskCapabilities,,true
do you have backend system integration capabilities,AskCapabilities,AskCapabilities,,true
explain your backend support,AskCapabilities,AskCapabilities,,true
what are you a chat bot,AskHumanity,AskHumanity,,true
are you a bot,AskHumanity,AskHumanity,,true
are you bot,AskHumanity,AskHumanity,,true
your not human,AskHumanity,AskHumanity,,true
you are a chatbot,AskHumanity,AskHumanity,,true
do you know if you real or machine,AskHumanity,AskHumanity,,true
are you a computer,AskHumanity,AskHumanity,,true
are you human,AskHumanity,AskHumanity,,true
are you a chat bot,AskHumanity,AskHumanity,,true
you're a chatbot,AskHumanity,AskHumanity,,true
are you a chatbot,AskHumanity,AskHumanity,,true
are you real,AskHumanity,AskHumanity,,true
you're not human,AskHumanity,AskHumanity,,true
what art you a bot,AskHumanity,AskHumanity,,true
are you bot or computer,AskHumanity,AskHumanity,,true
your a chatbot,AskHumanity,AskHumanity,,true
you are not human,AskHumanity,AskHumanity,,true
your a chat bot,AskHumanity,AskHumanity,,true
what are you a chatbot,AskHumanity,AskHumanity,,true
you're a bot,AskHumanity,AskHumanity,,true
are you a human,AskHumanity,AskHumanity,,true
"are you a robot ",AskHumanity,AskHumanity,,true
what are you,AskHumanity,AskHumanity,,true
what are you a robot,AskHumanity,AskHumanity,,true
your a bot,AskHumanity,AskHumanity,,true
you are a bot,AskHumanity,AskHumanity,,true
you're a chat bot,AskHumanity,AskHumanity,,true
